TG Number, Frequency, Tone, Alpha Tag, Description, Tag, Category, Enable 
1,462562500,0,FRS 01,Channel 1,FMN,Other
2,462587500,0,FRS 02,Channel 2,FMN,Other
3,462612500,0,FRS 03,Channel 3,FMN,Other
4,462637500,0,FRS 04,Channel 4,FMN,Other
5,462662500,0,FRS 05,Channel 5,FMN,Other
6,462687500,0,FRS 06,Channel 6,FMN,Other
7,462712500,0,FRS 07,Channel 7,FMN,Other, False
8,467562500,0,FRS 08,Channel 8,FMN,Other
9,467587500,0,FRS 09,Channel 9,FMN,Other
10,467612500,0,FRS 10,Channel 10,FMN,Other
11,467637500,0,FRS 11,Channel 11,FMN,Other
12,467662500,0,FRS 12,Channel 12,FMN,Other
13,467687500,0,FRS 13,Channel 13,FMN,Other
14,467712500,0,FRS 14,Channel 14,FMN,Other
15,462550000,0,FRS 15,Channel 15,FMN,Other
16,462575000,0,FRS 16,Channel 16,FMN,Other
17,462600000,0,FRS 17,Channel 17,FMN,Other
18,462625000,0,FRS 18,Channel 18,FMN,Other
19,462650000,0,FRS 19,Channel 19,FMN,Other
20,462675000,0,FRS 20,Channel 20,FMN,Other
21,462700000,0,FRS 21,Channel 21,FMN,Other
22,462725000,0,FRS 22,Channel 22,FMN,Other